<<<<<<< HEAD
point	title	description	icon
10,20	my orange title	my orange description	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
2,4	my aqua title	my aqua description	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
42,-71	my purple title	my purple description<br/>is great	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
=======
lat	lon	title	description	iconOffset
51.5417286	-0.1764688	point number 140	point number 140	-10,-25
51.4727286	-0.1749688	point number 141	point number 141	-10,-25
51.4737286	-0.1749688	point number 142	point number 142	-10,-25
51.4747286	-0.1749688	point number 143	point number 143	-10,-25
51.4757286	-0.1749688	point number 144	point number 144	-10,-25
51.4767286	-0.1749688	point number 145	point number 145	-10,-25
51.4777286	-0.1749688	point number 146	point number 146	-10,-25
51.4787286	-0.1749688	point number 147	point number 147	-10,-25
51.4797286	-0.1749688	point number 148	point number 148	-10,-25
51.4807286	-0.1749688	point number 149	point number 149	-10,-25
51.4817286	-0.1749688	point number 150	point number 150	-10,-25
51.4827286	-0.1749688	point number 151	point number 151	-10,-25
51.4837286	-0.1749688	point number 152	point number 152	-10,-25
51.4847286	-0.1749688	point number 153	point number 153	-10,-25
51.4857286	-0.1749688	point number 154	point number 154	-10,-25
51.4867286	-0.1749688	point number 155	point number 155	-10,-25
51.4877286	-0.1749688	point number 156	point number 156	-10,-25
51.4887286	-0.1749688	point number 157	point number 157	-10,-25
51.4897286	-0.1749688	point number 158	point number 158	-10,-25
51.4907286	-0.1749688	point number 159	point number 159	-10,-25
51.4917286	-0.1749688	point number 160	point number 160	-10,-25
51.4927286	-0.1749688	point number 161	point number 161	-10,-25
51.4937286	-0.1749688	point number 162	point number 162	-10,-25
51.4947286	-0.1749688	point number 163	point number 163	-10,-25
51.4957286	-0.1749688	point number 164	point number 164	-10,-25
51.4967286	-0.1749688	point number 165	point number 165	-10,-25
51.4977286	-0.1749688	point number 166	point number 166	-10,-25
51.4987286	-0.1749688	point number 167	point number 167	-10,-25
51.4997286	-0.1749688	point number 168	point number 168	-10,-25
51.5007286	-0.1749688	point number 169	point number 169	-10,-25
51.5017286	-0.1749688	point number 170	point number 170	-10,-25
51.5027286	-0.1749688	point number 171	point number 171	-10,-25
51.5037286	-0.1749688	point number 172	point number 172	-10,-25
51.5047286	-0.1749688	point number 173	point number 173	-10,-25
51.5057286	-0.1749688	point number 174	point number 174	-10,-25
51.5067286	-0.1749688	point number 175	point number 175	-10,-25
51.5077286	-0.1749688	point number 176	point number 176	-10,-25
51.5087286	-0.1749688	point number 177	point number 177	-10,-25
51.5097286	-0.1749688	point number 178	point number 178	-10,-25
51.5107286	-0.1749688	point number 179	point number 179	-10,-25
51.5117286	-0.1749688	point number 180	point number 180	-10,-25
51.5127286	-0.1749688	point number 181	point number 181	-10,-25
51.5137286	-0.1749688	point number 182	point number 182	-10,-25
51.5147286	-0.1749688	point number 183	point number 183	-10,-25
51.5157286	-0.1749688	point number 184	point number 184	-10,-25
51.5167286	-0.1749688	point number 185	point number 185	-10,-25
51.5177286	-0.1749688	point number 186	point number 186	-10,-25
51.5187286	-0.1749688	point number 187	point number 187	-10,-25
51.5197286	-0.1749688	point number 188	point number 188	-10,-25
51.5207286	-0.1749688	point number 189	point number 189	-10,-25
51.5217286	-0.1749688	point number 190	point number 190	-10,-25
51.5227286	-0.1749688	point number 191	point number 191	-10,-25
51.5237286	-0.1749688	point number 192	point number 192	-10,-25
51.5247286	-0.1749688	point number 193	point number 193	-10,-25
51.5257286	-0.1749688	point number 194	point number 194	-10,-25
51.5267286	-0.1749688	point number 195	point number 195	-10,-25
51.5277286	-0.1749688	point number 196	point number 196	-10,-25
51.5287286	-0.1749688	point number 197	point number 197	-10,-25
51.5297286	-0.1749688	point number 198	point number 198	-10,-25
51.5307286	-0.1749688	point number 199	point number 199	-10,-25
51.5317286	-0.1749688	point number 200	point number 200	-10,-25
51.5327286	-0.1749688	point number 201	point number 201	-10,-25
51.5337286	-0.1749688	point number 202	point number 202	-10,-25
51.5347286	-0.1749688	point number 203	point number 203	-10,-25
51.5357286	-0.1749688	point number 204	point number 204	-10,-25
51.5367286	-0.1749688	point number 205	point number 205	-10,-25
51.5377286	-0.1749688	point number 206	point number 206	-10,-25
51.5387286	-0.1749688	point number 207	point number 207	-10,-25
51.5397286	-0.1749688	point number 208	point number 208	-10,-25
51.5407286	-0.1749688	point number 209	point number 209	-10,-25
51.5417286	-0.1749688	point number 210	point number 210	-10,-25
51.4727286	-0.1734688	point number 211	point number 211	-10,-25
51.4737286	-0.1734688	point number 212	point number 212	-10,-25
51.4747286	-0.1734688	point number 213	point number 213	-10,-25
51.4757286	-0.1734688	point number 214	point number 214	-10,-25
51.4767286	-0.1734688	point number 215	point number 215	-10,-25
51.4777286	-0.1734688	point number 216	point number 216	-10,-25
51.4787286	-0.1734688	point number 217	point number 217	-10,-25
51.4797286	-0.1734688	point number 218	point number 218	-10,-25
51.4807286	-0.1734688	point number 219	point number 219	-10,-25
51.4817286	-0.1734688	point number 220	point number 220	-10,-25
51.4827286	-0.1734688	point number 221	point number 221	-10,-25
51.4837286	-0.1734688	point number 222	point number 222	-10,-25
51.4847286	-0.1734688	point number 223	point number 223	-10,-25
51.4857286	-0.1734688	point number 224	point number 224	-10,-25
51.4867286	-0.1734688	point number 225	point number 225	-10,-25
51.4877286	-0.1734688	point number 226	point number 226	-10,-25
51.4887286	-0.1734688	point number 227	point number 227	-10,-25
51.4897286	-0.1734688	point number 228	point number 228	-10,-25
51.4907286	-0.1734688	point number 229	point number 229	-10,-25
51.4917286	-0.1734688	point number 230	point number 230	-10,-25
51.4927286	-0.1734688	point number 231	point number 231	-10,-25
51.4937286	-0.1734688	point number 232	point number 232	-10,-25
51.4947286	-0.1734688	point number 233	point number 233	-10,-25
51.4957286	-0.1734688	point number 234	point number 234	-10,-25
51.4967286	-0.1734688	point number 235	point number 235	-10,-25
51.4977286	-0.1734688	point number 236	point number 236	-10,-25
51.4987286	-0.1734688	point number 237	point number 237	-10,-25
51.4997286	-0.1734688	point number 238	point number 238	-10,-25
51.5007286	-0.1734688	point number 239	point number 239	-10,-25
51.5017286	-0.1734688	point number 240	point number 240	-10,-25
51.5027286	-0.1734688	point number 241	point number 241	-10,-25
51.5037286	-0.1734688	point number 242	point number 242	-10,-25
51.5047286	-0.1734688	point number 243	point number 243	-10,-25
51.5057286	-0.1734688	point number 244	point number 244	-10,-25
51.5067286	-0.1734688	point number 245	point number 245	-10,-25
51.5077286	-0.1734688	point number 246	point number 246	-10,-25
51.5087286	-0.1734688	point number 247	point number 247	-10,-25
51.5097286	-0.1734688	point number 248	point number 248	-10,-25
51.5107286	-0.1734688	point number 249	point number 249	-10,-25
51.5117286	-0.1734688	point number 250	point number 250	-10,-25
51.5127286	-0.1734688	point number 251	point number 251	-10,-25
51.5137286	-0.1734688	point number 252	point number 252	-10,-25
51.5147286	-0.1734688	point number 253	point number 253	-10,-25
51.5157286	-0.1734688	point number 254	point number 254	-10,-25
51.5167286	-0.1734688	point number 255	point number 255	-10,-25
51.5177286	-0.1734688	point number 256	point number 256	-10,-25
51.5187286	-0.1734688	point number 257	point number 257	-10,-25
51.5197286	-0.1734688	point number 258	point number 258	-10,-25
51.5207286	-0.1734688	point number 259	point number 259	-10,-25
51.5217286	-0.1734688	point number 260	point number 260	-10,-25
51.5227286	-0.1734688	point number 261	point number 261	-10,-25
51.5237286	-0.1734688	point number 262	point number 262	-10,-25
51.5247286	-0.1734688	point number 263	point number 263	-10,-25
51.5257286	-0.1734688	point number 264	point number 264	-10,-25
51.5267286	-0.1734688	point number 265	point number 265	-10,-25
51.5277286	-0.1734688	point number 266	point number 266	-10,-25
51.5287286	-0.1734688	point number 267	point number 267	-10,-25
51.5297286	-0.1734688	point number 268	point number 268	-10,-25
51.5307286	-0.1734688	point number 269	point number 269	-10,-25
51.5317286	-0.1734688	point number 270	point number 270	-10,-25
51.5327286	-0.1734688	point number 271	point number 271	-10,-25
51.5337286	-0.1734688	point number 272	point number 272	-10,-25
51.5347286	-0.1734688	point number 273	point number 273	-10,-25
51.5357286	-0.1734688	point number 274	point number 274	-10,-25
51.5367286	-0.1734688	point number 275	point number 275	-10,-25
51.5377286	-0.1734688	point number 276	point number 276	-10,-25
51.5387286	-0.1734688	point number 277	point number 277	-10,-25
51.5397286	-0.1734688	point number 278	point number 278	-10,-25
51.5407286	-0.1734688	point number 279	point number 279	-10,-25
51.5417286	-0.1734688	point number 280	point number 280	-10,-25
51.4727286	-0.1719688	point number 281	point number 281	-10,-25
51.4737286	-0.1719688	point number 282	point number 282	-10,-25
51.4747286	-0.1719688	point number 283	point number 283	-10,-25
51.4757286	-0.1719688	point number 284	point number 284	-10,-25
51.4767286	-0.1719688	point number 285	point number 285	-10,-25
51.4777286	-0.1719688	point number 286	point number 286	-10,-25
51.4787286	-0.1719688	point number 287	point number 287	-10,-25
51.4797286	-0.1719688	point number 288	point number 288	-10,-25
51.4807286	-0.1719688	point number 289	point number 289	-10,-25
51.4817286	-0.1719688	point number 290	point number 290	-10,-25
51.4827286	-0.1719688	point number 291	point number 291	-10,-25
51.4837286	-0.1719688	point number 292	point number 292	-10,-25
51.4847286	-0.1719688	point number 293	point number 293	-10,-25
51.4857286	-0.1719688	point number 294	point number 294	-10,-25
51.4867286	-0.1719688	point number 295	point number 295	-10,-25
51.4877286	-0.1719688	point number 296	point number 296	-10,-25
51.4887286	-0.1719688	point number 297	point number 297	-10,-25
51.4897286	-0.1719688	point number 298	point number 298	-10,-25
51.4907286	-0.1719688	point number 299	point number 299	-10,-25
51.4917286	-0.1719688	point number 300	point number 300	-10,-25
51.4927286	-0.1719688	point number 301	point number 301	-10,-25
51.4937286	-0.1719688	point number 302	point number 302	-10,-25
51.4947286	-0.1719688	point number 303	point number 303	-10,-25
51.4957286	-0.1719688	point number 304	point number 304	-10,-25
51.4967286	-0.1719688	point number 305	point number 305	-10,-25
51.4977286	-0.1719688	point number 306	point number 306	-10,-25
51.4987286	-0.1719688	point number 307	point number 307	-10,-25
51.4997286	-0.1719688	point number 308	point number 308	-10,-25
51.5007286	-0.1719688	point number 309	point number 309	-10,-25
51.5017286	-0.1719688	point number 310	point number 310	-10,-25
51.5027286	-0.1719688	point number 311	point number 311	-10,-25
51.5037286	-0.1719688	point number 312	point number 312	-10,-25
51.5047286	-0.1719688	point number 313	point number 313	-10,-25
51.5057286	-0.1719688	point number 314	point number 314	-10,-25
51.5067286	-0.1719688	point number 315	point number 315	-10,-25
51.5077286	-0.1719688	point number 316	point number 316	-10,-25
51.5087286	-0.1719688	point number 317	point number 317	-10,-25
51.5097286	-0.1719688	point number 318	point number 318	-10,-25
51.5107286	-0.1719688	point number 319	point number 319	-10,-25
51.5117286	-0.1719688	point number 320	point number 320	-10,-25
51.5127286	-0.1719688	point number 321	point number 321	-10,-25
51.5137286	-0.1719688	point number 322	point number 322	-10,-25
51.5147286	-0.1719688	point number 323	point number 323	-10,-25
51.5157286	-0.1719688	point number 324	point number 324	-10,-25
51.5167286	-0.1719688	point number 325	point number 325	-10,-25
51.5177286	-0.1719688	point number 326	point number 326	-10,-25
51.5187286	-0.1719688	point number 327	point number 327	-10,-25
51.5197286	-0.1719688	point number 328	point number 328	-10,-25
51.5207286	-0.1719688	point number 329	point number 329	-10,-25
51.5217286	-0.1719688	point number 330	point number 330	-10,-25
51.5227286	-0.1719688	point number 331	point number 331	-10,-25
51.5237286	-0.1719688	point number 332	point number 332	-10,-25
51.5247286	-0.1719688	point number 333	point number 333	-10,-25
51.5257286	-0.1719688	point number 334	point number 334	-10,-25
51.5267286	-0.1719688	point number 335	point number 335	-10,-25
51.5277286	-0.1719688	point number 336	point number 336	-10,-25
51.5287286	-0.1719688	point number 337	point number 337	-10,-25
51.5297286	-0.1719688	point number 338	point number 338	-10,-25
51.5307286	-0.1719688	point number 339	point number 339	-10,-25
51.5317286	-0.1719688	point number 340	point number 340	-10,-25
51.5327286	-0.1719688	point number 341	point number 341	-10,-25
51.5337286	-0.1719688	point number 342	point number 342	-10,-25
51.5347286	-0.1719688	point number 343	point number 343	-10,-25
51.5357286	-0.1719688	point number 344	point number 344	-10,-25
51.5367286	-0.1719688	point number 345	point number 345	-10,-25
51.5377286	-0.1719688	point number 346	point number 346	-10,-25
51.5387286	-0.1719688	point number 347	point number 347	-10,-25
51.5397286	-0.1719688	point number 348	point number 348	-10,-25
51.5407286	-0.1719688	point number 349	point number 349	-10,-25
51.5417286	-0.1719688	point number 350	point number 350	-10,-25
51.4727286	-0.1704688	point number 351	point number 351	-10,-25
51.4737286	-0.1704688	point number 352	point number 352	-10,-25
51.4747286	-0.1704688	point number 353	point number 353	-10,-25
51.4757286	-0.1704688	point number 354	point number 354	-10,-25
51.4767286	-0.1704688	point number 355	point number 355	-10,-25
51.4777286	-0.1704688	point number 356	point number 356	-10,-25
51.4787286	-0.1704688	point number 357	point number 357	-10,-25
51.4797286	-0.1704688	point number 358	point number 358	-10,-25
51.4807286	-0.1704688	point number 359	point number 359	-10,-25
51.4817286	-0.1704688	point number 360	point number 360	-10,-25
51.4827286	-0.1704688	point number 361	point number 361	-10,-25
51.4837286	-0.1704688	point number 362	point number 362	-10,-25
51.4847286	-0.1704688	point number 363	point number 363	-10,-25
51.4857286	-0.1704688	point number 364	point number 364	-10,-25
51.4867286	-0.1704688	point number 365	point number 365	-10,-25
51.4877286	-0.1704688	point number 366	point number 366	-10,-25
51.4887286	-0.1704688	point number 367	point number 367	-10,-25
51.4897286	-0.1704688	point number 368	point number 368	-10,-25
51.4907286	-0.1704688	point number 369	point number 369	-10,-25
51.4917286	-0.1704688	point number 370	point number 370	-10,-25
51.4927286	-0.1704688	point number 371	point number 371	-10,-25
51.4937286	-0.1704688	point number 372	point number 372	-10,-25
51.4947286	-0.1704688	point number 373	point number 373	-10,-25
51.4957286	-0.1704688	point number 374	point number 374	-10,-25
51.4967286	-0.1704688	point number 375	point number 375	-10,-25
51.4977286	-0.1704688	point number 376	point number 376	-10,-25
51.4987286	-0.1704688	point number 377	point number 377	-10,-25
51.4997286	-0.1704688	point number 378	point number 378	-10,-25
51.5007286	-0.1704688	point number 379	point number 379	-10,-25
51.5017286	-0.1704688	point number 380	point number 380	-10,-25
51.5027286	-0.1704688	point number 381	point number 381	-10,-25
51.5037286	-0.1704688	point number 382	point number 382	-10,-25
51.5047286	-0.1704688	point number 383	point number 383	-10,-25
51.5057286	-0.1704688	point number 384	point number 384	-10,-25
51.5067286	-0.1704688	point number 385	point number 385	-10,-25
51.5077286	-0.1704688	point number 386	point number 386	-10,-25
51.5087286	-0.1704688	point number 387	point number 387	-10,-25
51.5097286	-0.1704688	point number 388	point number 388	-10,-25
51.5107286	-0.1704688	point number 389	point number 389	-10,-25
51.5117286	-0.1704688	point number 390	point number 390	-10,-25
51.5127286	-0.1704688	point number 391	point number 391	-10,-25
51.5137286	-0.1704688	point number 392	point number 392	-10,-25
51.5147286	-0.1704688	point number 393	point number 393	-10,-25
51.5157286	-0.1704688	point number 394	point number 394	-10,-25
51.5167286	-0.1704688	point number 395	point number 395	-10,-25
51.5177286	-0.1704688	point number 396	point number 396	-10,-25
51.5187286	-0.1704688	point number 397	point number 397	-10,-25
51.5197286	-0.1704688	point number 398	point number 398	-10,-25
51.5207286	-0.1704688	point number 399	point number 399	-10,-25
51.5217286	-0.1704688	point number 400	point number 400	-10,-25
51.5227286	-0.1704688	point number 401	point number 401	-10,-25
51.5237286	-0.1704688	point number 402	point number 402	-10,-25
51.5247286	-0.1704688	point number 403	point number 403	-10,-25
51.5257286	-0.1704688	point number 404	point number 404	-10,-25
51.5267286	-0.1704688	point number 405	point number 405	-10,-25
51.5277286	-0.1704688	point number 406	point number 406	-10,-25
51.5287286	-0.1704688	point number 407	point number 407	-10,-25
51.5297286	-0.1704688	point number 408	point number 408	-10,-25
51.5307286	-0.1704688	point number 409	point number 409	-10,-25
51.5317286	-0.1704688	point number 410	point number 410	-10,-25
51.5327286	-0.1704688	point number 411	point number 411	-10,-25
51.5337286	-0.1704688	point number 412	point number 412	-10,-25
51.5347286	-0.1704688	point number 413	point number 413	-10,-25
51.5357286	-0.1704688	point number 414	point number 414	-10,-25
51.5367286	-0.1704688	point number 415	point number 415	-10,-25
51.5377286	-0.1704688	point number 416	point number 416	-10,-25
51.5387286	-0.1704688	point number 417	point number 417	-10,-25
51.5397286	-0.1704688	point number 418	point number 418	-10,-25
51.5407286	-0.1704688	point number 419	point number 419	-10,-25
51.5417286	-0.1704688	point number 420	point number 420	-10,-25
51.4727286	-0.1689688	point number 421	point number 421	-10,-25
51.4737286	-0.1689688	point number 422	point number 422	-10,-25
51.4747286	-0.1689688	point number 423	point number 423	-10,-25
51.4757286	-0.1689688	point number 424	point number 424	-10,-25
51.4767286	-0.1689688	point number 425	point number 425	-10,-25
51.4777286	-0.1689688	point number 426	point number 426	-10,-25
51.4787286	-0.1689688	point number 427	point number 427	-10,-25
51.4797286	-0.1689688	point number 428	point number 428	-10,-25
51.4807286	-0.1689688	point number 429	point number 429	-10,-25
51.4817286	-0.1689688	point number 430	point number 430	-10,-25
51.4827286	-0.1689688	point number 431	point number 431	-10,-25
51.4837286	-0.1689688	point number 432	point number 432	-10,-25
51.4847286	-0.1689688	point number 433	point number 433	-10,-25
51.4857286	-0.1689688	point number 434	point number 434	-10,-25
51.4867286	-0.1689688	point number 435	point number 435	-10,-25
51.4877286	-0.1689688	point number 436	point number 436	-10,-25
51.4887286	-0.1689688	point number 437	point number 437	-10,-25
51.4897286	-0.1689688	point number 438	point number 438	-10,-25
51.4907286	-0.1689688	point number 439	point number 439	-10,-25
51.4917286	-0.1689688	point number 440	point number 440	-10,-25
51.4927286	-0.1689688	point number 441	point number 441	-10,-25
51.4937286	-0.1689688	point number 442	point number 442	-10,-25
51.4947286	-0.1689688	point number 443	point number 443	-10,-25
51.4957286	-0.1689688	point number 444	point number 444	-10,-25
51.4967286	-0.1689688	point number 445	point number 445	-10,-25
51.4977286	-0.1689688	point number 446	point number 446	-10,-25
51.4987286	-0.1689688	point number 447	point number 447	-10,-25
51.4997286	-0.1689688	point number 448	point number 448	-10,-25
51.5007286	-0.1689688	point number 449	point number 449	-10,-25
51.5017286	-0.1689688	point number 450	point number 450	-10,-25
51.5027286	-0.1689688	point number 451	point number 451	-10,-25
51.5037286	-0.1689688	point number 452	point number 452	-10,-25
51.5047286	-0.1689688	point number 453	point number 453	-10,-25
51.5057286	-0.1689688	point number 454	point number 454	-10,-25
51.5067286	-0.1689688	point number 455	point number 455	-10,-25
51.5077286	-0.1689688	point number 456	point number 456	-10,-25
51.5087286	-0.1689688	point number 457	point number 457	-10,-25
51.5097286	-0.1689688	point number 458	point number 458	-10,-25
51.5107286	-0.1689688	point number 459	point number 459	-10,-25
51.5117286	-0.1689688	point number 460	point number 460	-10,-25
51.5127286	-0.1689688	point number 461	point number 461	-10,-25
51.5137286	-0.1689688	point number 462	point number 462	-10,-25
51.5147286	-0.1689688	point number 463	point number 463	-10,-25
51.5157286	-0.1689688	point number 464	point number 464	-10,-25
51.5167286	-0.1689688	point number 465	point number 465	-10,-25
